loss,mae,val_loss,val_mae
163504.09375,391.3770446777344,169360.6875,395.7156982421875
161856.859375,389.1950378417969,166877.453125,392.4566345214844
159094.125,385.4834899902344,162763.859375,387.0668029785156
154709.265625,379.4447021484375,156176.375,378.3181457519531
147690.84375,369.6797180175781,146410.3125,364.9549560546875
137682.546875,355.23712158203125,132832.34375,345.38397216796875
124485.9296875,334.66912841796875,115706.1015625,318.6117858886719
108093.734375,308.49334716796875,96022.0625,286.79901123046875
90128.4296875,275.06512451171875,75363.4765625,249.2178192138672
71690.828125,239.23167419433594,57006.671875,210.56008911132812
55485.62890625,205.67233276367188,43833.05078125,182.6941375732422
43986.828125,179.6103515625,36688.96875,166.14202880859375
35904.8984375,159.58929443359375,34130.46875,157.18475341796875
30635.72265625,147.88258361816406,32986.703125,150.4246063232422
26797.33203125,139.40074157714844,31671.056640625,143.4872589111328
24461.67578125,132.91921997070312,29360.927734375,136.6421661376953
21686.462890625,124.06942749023438,26678.30859375,129.78579711914062
19219.603515625,116.39366149902344,23443.837890625,122.24456787109375
17678.552734375,111.18099975585938,20904.23046875,114.58795166015625
14879.3232421875,101.66715240478516,18635.65625,107.26739501953125
12933.1953125,95.20913696289062,16204.5791015625,100.12787628173828
11250.34765625,88.6212387084961,14374.1318359375,92.93026733398438
10222.9140625,82.17257690429688,12741.2880859375,86.53001403808594
8781.3896484375,74.65299987792969,11219.4658203125,80.5270004272461
6776.96630859375,66.2774658203125,9982.8818359375,75.17481994628906
6461.52978515625,61.697349548339844,8957.6826171875,70.84321594238281
5626.30810546875,58.59978485107422,7798.39794921875,66.41462707519531
5156.44921875,56.74087905883789,6749.57958984375,61.901180267333984
4521.60693359375,53.50454330444336,5964.958984375,58.14267349243164
4121.1201171875,49.94206619262695,5281.33251953125,54.45412826538086
4148.2001953125,50.48933792114258,4709.02294921875,51.397674560546875
3297.57275390625,46.07271957397461,4195.646484375,48.48176574707031
3314.939697265625,46.3554801940918,3828.73193359375,46.35336685180664
3480.1962890625,45.993682861328125,3475.39892578125,44.25177764892578
3153.778564453125,43.6054573059082,3223.078857421875,42.56184387207031
2717.70947265625,40.66170120239258,2950.016357421875,40.362640380859375
2558.411376953125,39.26946258544922,2817.400390625,39.6534309387207
2494.71875,38.705379486083984,2663.152099609375,38.532806396484375
2460.180908203125,38.85765838623047,2531.184326171875,37.67472839355469
2623.3642578125,40.64543914794922,2396.788330078125,36.7774772644043
2401.180419921875,38.27523422241211,2318.04736328125,36.42741394042969
2227.517822265625,36.73355484008789,2210.832275390625,35.67746353149414
2343.483642578125,37.19968795776367,2084.36767578125,34.75239944458008
2299.430908203125,36.86009216308594,1975.0543212890625,33.74252700805664
2275.267822265625,36.62033462524414,1950.9639892578125,33.79845428466797
2284.706787109375,36.383209228515625,1917.225341796875,33.7447509765625
2255.459716796875,37.02877426147461,1818.6280517578125,32.64134979248047
2279.146240234375,37.52507781982422,1753.722900390625,32.001258850097656
1926.0062255859375,34.452980041503906,1668.8033447265625,31.0332088470459
1918.8653564453125,34.247581481933594,1658.492919921875,31.209749221801758
2116.980224609375,36.13420104980469,1607.7529296875,30.864665985107422
2145.00244140625,36.26133346557617,1571.9190673828125,30.630807876586914
1933.8416748046875,34.80513000488281,1541.24609375,30.319839477539062
1977.8756103515625,34.70782470703125,1569.6929931640625,30.861549377441406
1716.8985595703125,32.168312072753906,1586.6949462890625,31.328706741333008
2005.4613037109375,35.361732482910156,1487.7620849609375,30.007253646850586
1986.0506591796875,35.048316955566406,1429.325439453125,29.240819931030273
1740.87353515625,32.08649444580078,1405.5218505859375,29.209819793701172
1558.0706787109375,30.86540412902832,1353.470458984375,28.580059051513672
1853.8917236328125,33.827579498291016,1323.7608642578125,28.359140396118164
1819.2708740234375,33.741641998291016,1310.82275390625,28.329200744628906
